route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
34543,408,Garden City,1,318132,2,79,7.71
34544,282,Mt Gardner/Snug Cove,0,317899,12,75,4.1
34544,282,Mt Gardner/Snug Cove,0,312899,12,75,4.1
34544,282,Mt Gardner/Snug Cove,1,317900,12,128,6.27
34544,282,Mt Gardner/Snug Cove,1,312900,12,128,6.27
36799,249,Lonsdale Quay/Delbrook,0,317830,111,123,5.78
36799,249,Lonsdale Quay/Delbrook,0,312831,110,123,5.78
36799,249,Lonsdale Quay/Delbrook,1,317832,107,120,5.78
36799,249,Lonsdale Quay/Delbrook,1,312832,107,120,5.78
37807,R5,Hastings St,0,318471,243,244,17.19
37807,R5,Hastings St,0,313454,243,244,17.19
37807,R5,Hastings St,0,318481,176,103,7.44
37807,R5,Hastings St,0,318470,36,92,7.28
37807,R5,Hastings St,0,313456,26,244,17.19
37807,R5,Hastings St,0,318469,26,244,17.19
37807,R5,Hastings St,0,313457,23,173,10.9
