vehicle_id,total_records,zero_speed_records,mean_speed,zero_speed_share
19005,94,94,0.0,1.0
19007,94,94,0.0,1.0
19010,94,94,0.0,1.0
19019,219,219,0.0,1.0
19020,218,218,0.0,1.0
19027,90,90,0.0,1.0
19032,82,82,0.0,1.0
19033,247,247,0.0,1.0
19039,223,223,0.0,1.0
19043,234,234,0.0,1.0
19045,248,248,0.0,1.0
19046,225,225,0.0,1.0
19102,94,94,0.0,1.0
19103,94,94,0.0,1.0
19105,94,94,0.0,1.0
19107,231,231,0.0,1.0
19108,126,126,0.0,1.0
19109,94,94,0.0,1.0
19110,94,94,0.0,1.0
19111,246,246,0.0,1.0
19112,236,236,0.0,1.0
19114,94,94,0.0,1.0
19115,94,94,0.0,1.0
19119,94,94,0.0,1.0
19121,83,83,0.0,1.0
19126,162,162,0.0,1.0
19128,244,244,0.0,1.0
19129,94,94,0.0,1.0
19133,94,94,0.0,1.0
19134,217,217,0.0,1.0
19135,234,234,0.0,1.0
19136,140,140,0.0,1.0
19137,217,217,0.0,1.0
19138,94,94,0.0,1.0
19140,77,77,0.0,1.0
19141,94,94,0.0,1.0
19401,145,145,0.0,1.0
19406,94,94,0.0,1.0
19408,150,150,0.0,1.0
19409,94,94,0.0,1.0
19410,94,94,0.0,1.0
19411,94,94,0.0,1.0
19413,187,187,0.0,1.0
19416,81,81,0.0,1.0
19417,94,94,0.0,1.0
19419,96,96,0.0,1.0
19422,2,2,0.0,1.0
19424,96,96,0.0,1.0
19425,145,145,0.0,1.0
19427,94,94,0.0,1.0
19428,78,78,0.0,1.0
19431,94,94,0.0,1.0
21002,246,246,0.0,1.0
21004,242,242,0.0,1.0
21009,94,94,0.0,1.0
2101,245,245,0.0,1.0
21011,94,94,0.0,1.0
21013,244,244,0.0,1.0
21017,94,94,0.0,1.0
21019,160,160,0.0,1.0
2102,94,94,0.0,1.0
21021,245,245,0.0,1.0
21022,94,94,0.0,1.0
21023,94,94,0.0,1.0
21024,246,246,0.0,1.0
2107,245,245,0.0,1.0
2108,241,241,0.0,1.0
2110,94,94,0.0,1.0
2116,94,94,0.0,1.0
2118,94,94,0.0,1.0
2119,239,239,0.0,1.0
2122,133,133,0.0,1.0
2124,94,94,0.0,1.0
2125,79,79,0.0,1.0
2126,195,195,0.0,1.0
2127,91,91,0.0,1.0
2128,94,94,0.0,1.0
2130,94,94,0.0,1.0
2131,92,92,0.0,1.0
2132,75,75,0.0,1.0
2133,94,94,0.0,1.0
2135,94,94,0.0,1.0
2137,12,12,0.0,1.0
2140,245,245,0.0,1.0
21401,238,238,0.0,1.0
21402,94,94,0.0,1.0
21404,93,93,0.0,1.0
21407,195,195,0.0,1.0
2141,245,245,0.0,1.0
21410,114,114,0.0,1.0
21412,132,132,0.0,1.0
21413,94,94,0.0,1.0
21415,94,94,0.0,1.0
21416,245,245,0.0,1.0
21418,94,94,0.0,1.0
21419,244,244,0.0,1.0
2142,97,97,0.0,1.0
21420,94,94,0.0,1.0
21421,94,94,0.0,1.0
21423,83,83,0.0,1.0
21425,244,244,0.0,1.0
2143,94,94,0.0,1.0
2146,94,94,0.0,1.0
2147,14,14,0.0,1.0
2150,94,94,0.0,1.0
21502,163,163,0.0,1.0
21505,244,244,0.0,1.0
21506,228,228,0.0,1.0
21508,84,84,0.0,1.0
2151,190,190,0.0,1.0
21510,87,87,0.0,1.0
21511,94,94,0.0,1.0
21513,94,94,0.0,1.0
21514,223,223,0.0,1.0
21516,93,93,0.0,1.0
21517,244,244,0.0,1.0
21519,192,192,0.0,1.0
2152,244,244,0.0,1.0
21520,94,94,0.0,1.0
21522,94,94,0.0,1.0
21526,244,244,0.0,1.0
21529,94,94,0.0,1.0
21530,81,81,0.0,1.0
21533,88,88,0.0,1.0
21534,188,188,0.0,1.0
21535,86,86,0.0,1.0
21536,94,94,0.0,1.0
21539,94,94,0.0,1.0
21543,217,217,0.0,1.0
21544,87,87,0.0,1.0
21546,157,157,0.0,1.0
21547,231,231,0.0,1.0
21548,90,90,0.0,1.0
21549,94,94,0.0,1.0
2155,245,245,0.0,1.0
21550,94,94,0.0,1.0
21551,94,94,0.0,1.0
21552,223,223,0.0,1.0
21556,200,200,0.0,1.0
21557,76,76,0.0,1.0
21558,89,89,0.0,1.0
21559,227,227,0.0,1.0
21561,94,94,0.0,1.0
21562,94,94,0.0,1.0
2157,94,94,0.0,1.0
2160,94,94,0.0,1.0
2162,244,244,0.0,1.0
2163,94,94,0.0,1.0
2164,94,94,0.0,1.0
2166,96,96,0.0,1.0
2169,94,94,0.0,1.0
2171,94,94,0.0,1.0
2174,94,94,0.0,1.0
2175,94,94,0.0,1.0
2179,94,94,0.0,1.0
2181,94,94,0.0,1.0
2182,218,218,0.0,1.0
2183,245,245,0.0,1.0
2184,94,94,0.0,1.0
2185,94,94,0.0,1.0
2186,94,94,0.0,1.0
2188,94,94,0.0,1.0
2191,188,188,0.0,1.0
2192,223,223,0.0,1.0
2196,245,245,0.0,1.0
2197,96,96,0.0,1.0
2198,199,199,0.0,1.0
22001,242,242,0.0,1.0
22002,94,94,0.0,1.0
22003,87,87,0.0,1.0
22004,245,245,0.0,1.0
22009,94,94,0.0,1.0
22011,248,248,0.0,1.0
22012,93,93,0.0,1.0
22013,219,219,0.0,1.0
2203,94,94,0.0,1.0
2204,174,174,0.0,1.0
2205,94,94,0.0,1.0
2206,213,213,0.0,1.0
2208,244,244,0.0,1.0
2210,94,94,0.0,1.0
2211,245,245,0.0,1.0
2213,94,94,0.0,1.0
2215,94,94,0.0,1.0
2218,94,94,0.0,1.0
2219,94,94,0.0,1.0
2221,94,94,0.0,1.0
2222,94,94,0.0,1.0
2223,94,94,0.0,1.0
2224,245,245,0.0,1.0
2225,176,176,0.0,1.0
2226,94,94,0.0,1.0
2227,94,94,0.0,1.0
2230,244,244,0.0,1.0
2231,244,244,0.0,1.0
2232,94,94,0.0,1.0
2238,229,229,0.0,1.0
2240,94,94,0.0,1.0
2243,94,94,0.0,1.0
2244,244,244,0.0,1.0
2245,94,94,0.0,1.0
2247,94,94,0.0,1.0
2248,94,94,0.0,1.0
2251,237,237,0.0,1.0
2252,245,245,0.0,1.0
2257,94,94,0.0,1.0
2258,245,245,0.0,1.0
2260,244,244,0.0,1.0
2261,245,245,0.0,1.0
2262,245,245,0.0,1.0
2263,94,94,0.0,1.0
2269,85,85,0.0,1.0
2272,159,159,0.0,1.0
2273,37,37,0.0,1.0
2274,245,245,0.0,1.0
2275,244,244,0.0,1.0
2278,244,244,0.0,1.0
2280,245,245,0.0,1.0
2281,94,94,0.0,1.0
2283,94,94,0.0,1.0
2284,241,241,0.0,1.0
2285,244,244,0.0,1.0
2287,85,85,0.0,1.0
2288,242,242,0.0,1.0
23005,94,94,0.0,1.0
23006,211,211,0.0,1.0
23009,94,94,0.0,1.0
